source_file,sheet,month,metric,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,IG,,-22.173613648236667,True
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,ID,-0.255615192055636,-18.844132024368854,False
C:\Temp\1-tableaux\GHA\04_305-GHA_SMC_T41_25_07_30.xlsm,Convergences,2025-07,LI,,-28.51403170040712,True
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,BG,-2.0575250009597923,-2.4196469277946164,False
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,HG,-0.2895359401295928,-0.5464412426239296,False
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,HD,,-0.3071994836261194,True
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,BD,-0.1995030656947172,-1.5751975918569805,False
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,LH,,-0.5873775030473816,True
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,LB,-2.011571806010082,-2.982672504177053,False
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_201-GT7_SMC_C061_PM57_25_07_08.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,BG,,-1.8886471582604256,True
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,HG,-0.26972424055138344,-0.4269083103780602,False
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,HD,-0.5514606701297886,0.5372002749322036,False
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,BD,3.1799663840512693,2.3604471219123013,False
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,LH,-0.6220329567314664,0.4662508264532405,False
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,LB,,-0.0812797936022846,True
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_202-GRD_SMC_T48_PM44_25_07_08.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,BG,-1.9844086627123225,-7.864069614940128,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,HG,-2.481180648677306,-4.8969374168148505,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,HD,0.9924686015461148,-0.9065295231733828,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,BD,0.5234997579570688,-2.1372763332556666,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,LH,-0.6161353541944692,-3.717686987681823,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,LB,-1.0485194021550015,-6.035508030339365,False
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_203-GRD_SMC_C52_PM47_25_07_08.xlsm,Convergences,2025-07,LI,,,
