source_file,sheet,month,measure_label,col_index,col_letter,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DPM bas droit,21,U,,1.8844772874473392,True
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DH bas droit,22,V,,-1.4383135970237326,True
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Déplacements,2025-07,DZ bas droit,23,W,,-4.300000000000637,True
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,-3.0334688821582745,-1.8191206196611631,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH bas gauche,4,D,0.8657107029632627,1.1009943781017384,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,1.3666666666694027,0.5666666666570563,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM inter gauche,6,F,-3.3183554908298163,-8.610069641607154,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH inter gauche,7,G,1.0822640121066485,25.206272042892053,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ inter gauche,8,H,0.6500000000073669,-24.649999999994066,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM haut gauche,9,I,-2.7893583924818444,-9.201340334605845,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH haut gauche,10,J,0.657727061394553,14.880472538365552,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ haut gauche,11,K,0.3375000000005457,-16.76249999999868,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM centre haut,12,L,-2.3015722367745184,-11.140124801498175,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH centre haut,13,M,0.4990149482389412,-0.4229336307203929,False
