source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ haut gauche,-0.2,-13.5,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM centre haut,0.63,16.14,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH centre haut,0.3,6.31,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ centre haut,-3.4,-65.6,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM haut droit,,0.19,,2025-07-29,2025-07-29,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH haut droit,,-9.4,,2025-07-29,2025-07-29,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ haut droit,,-5.6,,2025-07-29,2025-07-29,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM inter droit,-0.48,-1.01,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH inter droit,-2.76,-15.59,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ inter droit,0.1,-6.8,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DPM bas droit,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DH bas droit,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ bas droit,,0.0,,2025-04-04,2025-04-04,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_09_30.xlsm,Déplacements,GGS,C020,2025-09,DZ centre haut x2,-6.8,-131.2,2025-09-30,2025-08-25,2025-09-30,5,25
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_09_30.xlsm,Déplacements,GGS,C031,2025-09,DPM bas gauche,,0.0,,2025-06-25,2025-06-25,5,14
