Repertoire;Ligne;AB;AC;AD;AE;AF;AG
10-SMC GTB 032;154;09/04/2025 00:00;HD;S4_S0323;822989.751;1091528.264;-119.027
10-SMC GTB 032;155;23/04/2025 00:00;HG;S0321;822992.637;1091521.866;-119.135
10-SMC GTB 032;156;23/04/2025 00:00;CH;S0322;822991.369;1091524.745;-117.457
10-SMC GTB 032;157;23/04/2025 00:00;HD;S0323;822989.751;1091528.263;-119.027
10-SMC GTB 032;158;23/05/2025 00:00;HG;S0321;822992.637;1091521.866;-119.135
10-SMC GTB 032;159;23/05/2025 00:00;CH;S0322;822991.369;1091524.745;-117.457
10-SMC GTB 032;160;23/05/2025 00:00;HD;S0323;822989.75;1091528.263;-119.027
10-SMC GTB 032;161;05/06/2025 00:00;HG;GTB.S321;822992.639;1091521.866;-119.134
10-SMC GTB 032;162;05/06/2025 00:00;CH;GTB.S322;822991.371;1091524.745;-117.457
10-SMC GTB 032;163;05/06/2025 00:00;HD;GTB.S323;822989.752;1091528.264;-119.026
10-SMC GTB 032;164;08/07/2025 00:00;HG;C0321;822992.639;1091521.866;-119.134
10-SMC GTB 032;165;08/07/2025 00:00;CH;C0322;822991.37;1091524.745;-117.456
10-SMC GTB 032;166;08/07/2025 00:00;HD;C0323;822989.753;1091528.263;-119.027
