Repertoire;Ligne;AB;AC;AD;AE;AF;AG
06-SMC Galerie S4 - GGS 07;236;2025-09-02 00:00:00;BD;S075;823056.720;1091431.444;-123.013
;;;;;;;
07-SMC entonnement - GGS 20;112;2025-07-15 00:00:00;HD;S204;823046.516;1091427.246;-118.918
07-SMC entonnement - GGS 20;113;2025-07-15 00:00:00;ID;S205;823046.186;1091428.018;-120.727
07-SMC entonnement - GGS 20;114;2025-07-21 00:00:00;IG;S0201;823049.404;1091420.876;-120.151
07-SMC entonnement - GGS 20;115;2025-07-21 00:00:00;HG;S0202;823048.761;1091422.059;-118.230
07-SMC entonnement - GGS 20;116;2025-07-21 00:00:00;CH;S0203;823047.679;1091424.441;-117.514
07-SMC entonnement - GGS 20;117;2025-07-21 00:00:00;HD;S0204;823046.515;1091427.246;-118.917
07-SMC entonnement - GGS 20;118;2025-07-21 00:00:00;ID;S0205;823046.186;1091428.017;-120.727
07-SMC entonnement - GGS 20;119;2025-07-29 00:00:00;IG;S0201;823049.403;1091420.876;-120.151
07-SMC entonnement - GGS 20;120;2025-07-29 00:00:00;HG;S0202;823048.761;1091422.060;-118.230
07-SMC entonnement - GGS 20;121;2025-07-29 00:00:00;CH;S0203;823047.678;1091424.443;-117.514
07-SMC entonnement - GGS 20;122;2025-07-29 00:00:00;HD;S0204;823046.515;1091427.246;-118.917
07-SMC entonnement - GGS 20;123;2025-07-29 00:00:00;ID;S0205;823046.185;1091428.018;-120.726
07-SMC entonnement - GGS 20;124;2025-08-18 00:00:00;IG;S201;823049.403;1091420.874;-120.152
07-SMC entonnement - GGS 20;125;2025-08-18 00:00:00;HG;S202;823048.761;1091422.061;-118.233
07-SMC entonnement - GGS 20;126;2025-08-18 00:00:00;CH;S203;823047.677;1091424.441;-117.519
07-SMC entonnement - GGS 20;127;2025-08-18 00:00:00;ID;S205;823046.186;1091428.015;-120.728
07-SMC entonnement - GGS 20;128;2025-08-25 00:00:00;IG;B.S0201;823049.403;1091420.876;-120.153
07-SMC entonnement - GGS 20;129;2025-08-25 00:00:00;HG;B.S0202;823048.761;1091422.061;-118.234
07-SMC entonnement - GGS 20;130;2025-08-25 00:00:00;CH;B.S0203;823047.677;1091424.442;-117.520
07-SMC entonnement - GGS 20;131;2025-08-25 00:00:00;ID;B.S0205;823046.186;1091428.016;-120.729
07-SMC entonnement - GGS 20;132;2025-09-02 00:00:00;IG;S201;823049.403;1091420.876;-120.153
07-SMC entonnement - GGS 20;133;2025-09-02 00:00:00;HG;S202;823048.761;1091422.061;-118.234
07-SMC entonnement - GGS 20;134;2025-09-02 00:00:00;CH;S203;823047.676;1091424.441;-117.521
07-SMC entonnement - GGS 20;135;2025-09-02 00:00:00;HD;S204;823046.516;1091427.243;-118.919
07-SMC entonnement - GGS 20;136;2025-09-02 00:00:00;ID;S205;823046.186;1091428.015;-120.729
;;;;;;;
08-SMC Grande section GGS 31;62;2025-07-23 00:00:00;IG;C.S0311;823042.454;1091416.253;-120.471
08-SMC Grande section GGS 31;63;2025-07-23 00:00:00;HG;C.S0312;823041.693;1091417.866;-117.137
08-SMC Grande section GGS 31;64;2025-07-23 00:00:00;CH;C.S0313;823040.471;1091420.635;-115.998
08-SMC Grande section GGS 31;65;2025-07-23 00:00:00;HD;C.S0314;823038.990;1091423.685;-117.153
08-SMC Grande section GGS 31;66;2025-07-23 00:00:00;ID;C.S0315;823038.142;1091425.512;-120.510
08-SMC Grande section GGS 31;67;2025-07-29 00:00:00;IG;S.31.1;823042.454;1091416.254;-120.472
08-SMC Grande section GGS 31;68;2025-07-29 00:00:00;HG;S.31.2;823041.694;1091417.866;-117.139
08-SMC Grande section GGS 31;69;2025-07-29 00:00:00;CH;S.31.3;823040.471;1091420.635;-115.999
08-SMC Grande section GGS 31;70;2025-07-29 00:00:00;HD;S.31.4;823038.991;1091423.683;-117.154
08-SMC Grande section GGS 31;71;2025-07-29 00:00:00;ID;S.31.5;823038.144;1091425.509;-120.512
08-SMC Grande section GGS 31;72;2025-08-18 00:00:00;IG;S311;823042.453;1091416.258;-120.474
08-SMC Grande section GGS 31;73;2025-08-18 00:00:00;HG;S312;823041.693;1091417.868;-117.141
08-SMC Grande section GGS 31;74;2025-08-18 00:00:00;CH;S313;823040.473;1091420.637;-116.003
08-SMC Grande section GGS 31;75;2025-08-18 00:00:00;HD;S314;823038.993;1091423.683;-117.157
08-SMC Grande section GGS 31;76;2025-08-18 00:00:00;ID;S315;823038.147;1091425.508;-120.515
08-SMC Grande section GGS 31;77;2025-08-25 00:00:00;IG;A.S0311;823042.452;1091416.259;-120.475
08-SMC Grande section GGS 31;78;2025-08-25 00:00:00;HG;A.S0312;823041.693;1091417.868;-117.142
08-SMC Grande section GGS 31;79;2025-08-25 00:00:00;CH;A.S0313;823040.473;1091420.637;-116.004
08-SMC Grande section GGS 31;80;2025-08-25 00:00:00;HD;A.S0314;823038.993;1091423.683;-117.158
08-SMC Grande section GGS 31;81;2025-08-25 00:00:00;ID;A.S0315;823038.147;1091425.508;-120.517
08-SMC Grande section GGS 31;82;2025-09-02 00:00:00;IG;S311;823042.451;1091416.262;-120.476
08-SMC Grande section GGS 31;83;2025-09-02 00:00:00;HG;S312;823041.693;1091417.869;-117.143
08-SMC Grande section GGS 31;84;2025-09-02 00:00:00;CH;S313;823040.473;1091420.637;-116.004
08-SMC Grande section GGS 31;85;2025-09-02 00:00:00;HD;S314;823038.993;1091423.681;-117.158
08-SMC Grande section GGS 31;86;2025-09-02 00:00:00;ID;S315;823038.149;1091425.506;-120.518
;;;;;;;
