Repertoire;Ligne;AB;AC;AD;AE;AF;AG
07-SMC entonnement - GGS 20;179;2025-11-18 00:00:00;ID;S0205;823046.187;1091428.014;-120.730
07-SMC entonnement - GGS 20;180;2025-11-27 00:00:00;IG;S0201;823049.404;1091420.880;-120.154
07-SMC entonnement - GGS 20;181;2025-11-27 00:00:00;HG;S0202;823048.762;1091422.065;-118.236
07-SMC entonnement - GGS 20;182;2025-11-27 00:00:00;CH;S0203;823047.675;1091424.444;-117.529
07-SMC entonnement - GGS 20;183;2025-11-27 00:00:00;ID;S0205;823046.189;1091428.014;-120.729
07-SMC entonnement - GGS 20;184;2025-12-04 00:00:00;IG;S201;823049.403;1091420.879;-120.155
07-SMC entonnement - GGS 20;185;2025-12-04 00:00:00;HG;S202;823048.761;1091422.063;-118.237
07-SMC entonnement - GGS 20;186;2025-12-04 00:00:00;CH;S203;823047.675;1091424.442;-117.530
07-SMC entonnement - GGS 20;187;2025-12-04 00:00:00;HD;S204;823046.520;1091427.240;-118.922
07-SMC entonnement - GGS 20;188;2025-12-04 00:00:00;ID;S205;823046.188;1091428.012;-120.730
;;;;;;;
08-SMC Grande section GGS 31;125;2025-10-28 00:00:00;ID;S325;823038.156;1091425.501;-120.528
08-SMC Grande section GGS 31;126;2025-11-04 00:00:00;IG;S.0311.1;823042.449;1091416.271;-120.481
08-SMC Grande section GGS 31;127;2025-11-04 00:00:00;HG;S.0312.1;823041.693;1091417.873;-117.148
08-SMC Grande section GGS 31;128;2025-11-04 00:00:00;CH;S.0313.1;823040.476;1091420.640;-116.011
08-SMC Grande section GGS 31;129;2025-11-04 00:00:00;HD;S.0314.1;823038.998;1091423.679;-117.164
08-SMC Grande section GGS 31;130;2025-11-04 00:00:00;ID;S.0315.1;823038.158;1091425.502;-120.529
08-SMC Grande section GGS 31;131;2025-11-12 00:00:00;IG;A.S0311;823042.449;1091416.271;-120.482
08-SMC Grande section GGS 31;132;2025-11-12 00:00:00;HG;A.S0312;823041.693;1091417.873;-117.148
08-SMC Grande section GGS 31;133;2025-11-12 00:00:00;CH;A.S0313;823040.476;1091420.641;-116.011
08-SMC Grande section GGS 31;134;2025-11-12 00:00:00;HD;A.S0314;823038.997;1091423.680;-117.164
08-SMC Grande section GGS 31;135;2025-11-12 00:00:00;ID;A.S0315;823038.158;1091425.502;-120.529
08-SMC Grande section GGS 31;136;2025-11-18 00:00:00;IG;S0321;823042.449;1091416.272;-120.481
08-SMC Grande section GGS 31;137;2025-11-18 00:00:00;HG;S0322;823041.693;1091417.873;-117.148
08-SMC Grande section GGS 31;138;2025-11-18 00:00:00;CH;S0323;823040.476;1091420.641;-116.011
08-SMC Grande section GGS 31;139;2025-11-18 00:00:00;HD;S0324;823038.998;1091423.679;-117.164
08-SMC Grande section GGS 31;140;2025-11-18 00:00:00;ID;S0325;823038.159;1091425.501;-120.529
08-SMC Grande section GGS 31;141;2025-11-27 00:00:00;HG;S0322;823041.694;1091417.874;-117.148
08-SMC Grande section GGS 31;142;2025-11-27 00:00:00;CH;S0323;823040.476;1091420.642;-116.012
08-SMC Grande section GGS 31;143;2025-11-27 00:00:00;HD;S0324;823038.999;1091423.680;-117.165
08-SMC Grande section GGS 31;144;2025-11-27 00:00:00;ID;S0325;823038.160;1091425.502;-120.530
08-SMC Grande section GGS 31;145;2025-12-04 00:00:00;IG;S2_ref_S311;823042.449;1091416.271;-120.483
08-SMC Grande section GGS 31;146;2025-12-04 00:00:00;HG;S2_ref_S312;823041.693;1091417.872;-117.149
08-SMC Grande section GGS 31;147;2025-12-04 00:00:00;CH;S2_ref_S313;823040.476;1091420.640;-116.013
08-SMC Grande section GGS 31;148;2025-12-04 00:00:00;HD;S2_ref_S314;823038.998;1091423.678;-117.165
08-SMC Grande section GGS 31;149;2025-12-04 00:00:00;ID;S2_ref_S315;823038.159;1091425.500;-120.531
;;;;;;;
