H;V;PM
2.544;3.391;53.178
2.308;0.180;52.772
2.295;0.171;52.754
2.302;0.070;52.767
2.302;-0.016;52.767
2.289;4.430;52.753
2.324;0.459;52.825
2.523;1.630;53.172
2.520;1.532;53.167
2.459;0.931;53.062
2.325;4.275;52.834
2.538;1.894;53.210
2.371;0.673;52.920
2.275;0.072;52.752
2.272;0.029;52.747
2.272;-0.067;52.748
2.456;1.031;53.069
2.552;1.971;53.238
2.543;3.374;53.227
2.555;3.131;53.247
2.454;1.171;53.074
2.513;1.770;53.182
2.353;4.113;52.911
2.554;3.224;53.261
2.553;2.872;53.258
2.561;2.772;53.283
2.568;2.130;53.298
2.366;4.035;52.949
2.575;2.680;53.316
2.578;2.388;53.321
2.371;0.752;52.965
2.408;0.865;53.034
2.563;2.427;53.317
2.530;2.967;53.271
2.292;0.537;52.851
2.492;1.872;53.209
2.448;3.695;53.136
2.409;3.831;53.071
2.421;3.772;53.098
2.373;0.833;53.011
2.421;1.250;53.099
2.543;2.667;53.320
2.466;1.630;53.188
2.309;0.674;52.908
2.440;1.371;53.145
2.441;1.429;53.153
2.445;1.493;53.167
2.367;0.852;53.026
2.242;0.444;52.805
2.223;0.367;52.774
2.455;1.771;53.192
2.451;1.590;53.185
2.271;0.588;52.862
2.469;1.950;53.232
2.467;3.570;53.232
2.477;3.369;53.249
2.252;4.295;52.848
2.474;3.434;53.248
2.483;2.884;53.263
2.485;3.187;53.279
2.497;2.118;53.299
2.494;3.134;53.298
2.493;3.079;53.299
2.505;2.575;53.325
2.508;2.427;53.330
2.233;0.534;52.832
2.279;4.169;52.921
2.510;2.268;53.337
2.470;3.230;53.272
2.509;2.328;53.342
2.397;1.350;53.149
2.291;4.077;52.960
2.228;0.575;52.845
2.404;1.471;53.178
2.284;0.776;52.961
2.457;2.079;53.281
2.318;3.937;53.037
2.340;3.871;53.078
2.459;2.130;53.297
2.350;1.229;53.112
2.359;1.291;53.133
2.268;0.799;52.974
2.136;-0.224;52.730
2.381;1.629;53.195
2.142;0.137;52.750
2.385;1.827;53.204
2.380;1.570;53.195
2.152;0.235;52.770
2.378;1.731;53.196
2.151;0.335;52.774
2.162;4.399;52.803
2.409;3.570;53.268
2.125;0.034;52.738
2.182;4.327;52.850
2.413;3.331;53.285
2.371;3.670;53.209
2.414;3.269;53.292
2.419;3.166;53.301
2.419;2.771;53.303
2.439;2.329;53.348
2.428;2.674;53.330
2.433;2.528;53.343
2.378;2.029;53.239
2.208;4.183;52.922
2.305;1.151;53.105
2.141;0.474;52.796
2.398;3.489;53.289
2.372;2.051;53.244
2.229;4.035;52.994
2.342;1.968;53.222
2.250;0.929;53.047
2.361;2.132;53.268
2.373;2.969;53.294
2.264;1.035;53.083
2.332;1.976;53.223
2.393;2.429;53.344
2.126;0.572;52.830
2.284;1.256;53.135
2.284;3.847;53.141
2.296;1.332;53.167
2.300;3.775;53.183
2.205;0.843;53.002
2.311;1.881;53.212
2.308;1.770;53.205
2.329;3.651;53.250
2.158;0.707;52.916
2.064;0.092;52.740
2.380;2.582;53.357
2.071;0.134;52.756
2.346;2.232;53.298
2.079;0.236;52.777
2.088;4.431;52.805
2.347;2.870;53.309
2.353;3.071;53.323
2.287;1.629;53.194
2.351;3.327;53.322
2.357;3.128;53.334
2.354;2.768;53.329
2.361;2.667;53.347
2.343;2.329;53.313
2.099;4.356;52.841
2.053;4.513;52.752
2.120;4.289;52.884
2.213;0.935;53.063
2.204;0.907;53.049
2.111;0.628;52.868
2.330;3.570;53.303
2.281;1.770;53.209
2.072;0.474;52.801
2.130;4.216;52.922
2.144;4.141;52.957
2.255;1.549;53.182
2.156;4.070;52.994
2.160;0.828;52.999
2.246;1.431;53.188
2.016;-0.300;52.729
2.027;4.514;52.759
2.192;3.936;53.089
2.238;1.371;53.178
2.020;0.074;52.743
2.203;1.135;53.120
2.245;1.970;53.228
2.000;-0.122;52.734
2.245;3.768;53.236
2.251;2.043;53.247
2.255;2.128;53.263
2.086;0.671;52.921
2.273;2.295;53.309
2.196;1.310;53.153
2.289;3.227;53.346
2.172;1.071;53.108
2.287;3.328;53.345
2.286;2.868;53.343
2.270;3.626;53.313
2.279;3.483;53.332
1.987;-0.064;52.737
2.288;3.170;53.353
2.288;3.074;53.356
2.281;2.969;53.341
2.298;2.571;53.378
2.007;0.173;52.785
2.018;4.429;52.813
2.247;2.229;53.282
2.018;0.334;52.816
2.210;1.869;53.222
2.042;4.316;52.885
2.163;1.270;53.132
2.111;4.043;53.031
2.012;4.390;52.839
2.073;0.726;52.962
2.071;4.174;52.963
2.086;0.794;53.001
1.954;-0.307;52.731
2.219;2.250;53.286
2.139;1.305;53.130
2.117;3.974;53.090
