H;V;PM
3.770489;1.907597;37.271029
3.430103;3.162162;37.112425
3.824718;1.780577;37.297847
3.302837;3.350003;37.055182
3.086520;3.602057;36.957705
3.626264;2.598475;37.209195
4.147620;0.427690;37.454388
4.153031;-0.016357;37.458291
4.075059;0.731814;37.422255
3.053111;3.623092;36.944860
3.148208;3.513887;36.994779
3.315055;3.278543;37.081673
3.779763;1.838880;37.289272
4.135761;0.096594;37.458263
3.891032;1.460015;37.346408
4.123293;0.208594;37.453781
3.270147;3.359326;37.057313
3.635072;2.497602;37.230774
3.531356;2.726400;37.181932
3.905474;1.287191;37.356266
4.070177;0.672640;37.434177
3.691267;2.070604;37.256857
3.896845;1.370535;37.354440
3.874186;1.548391;37.343336
3.951633;1.054386;37.381431
3.912853;1.206020;37.363213
3.844877;1.633837;37.332049
3.389954;3.161611;37.118219
3.922305;1.137834;37.368755
3.994220;0.905105;37.402739
3.774382;1.801797;37.299538
3.910528;1.171154;37.365174
2.925420;3.700701;36.906585
3.609321;2.532272;37.227255
2.966658;3.667841;36.929260
3.274436;3.313018;37.070997
3.614459;2.500895;37.233038
3.457940;2.904730;37.161602
4.109880;0.040383;37.466337
4.045934;0.698514;37.435645
3.419487;3.008600;37.143538
3.340557;3.204515;37.108621
3.474303;2.814795;37.170114
4.083825;0.509456;37.455457
3.513572;2.706068;37.189423
3.875144;1.368769;37.359845
3.965477;0.938967;37.400752
4.098377;0.331766;37.463914
3.953429;0.966696;37.396488
3.336120;3.231661;37.102116
3.214951;3.386819;37.052068
3.040487;3.605549;36.969784
3.635205;2.246169;37.250911
3.976662;0.886886;37.410621
3.344910;3.179462;37.113910
3.798994;1.682713;37.326497
3.942099;0.994366;37.392989
3.866839;1.393332;37.360043
3.627773;2.368234;37.245756
3.640963;2.220456;37.253886
3.450566;2.871103;37.166278
4.044961;0.662848;37.442055
4.005142;0.786916;37.424352
3.925894;1.046065;37.387344
4.086307;0.295881;37.462279
4.084287;0.181509;37.462310
4.087384;0.475077;37.464577
4.095458;0.011396;37.470584
4.080811;0.268727;37.461942
4.096324;0.391436;37.467822
4.087633;0.119320;37.465940
3.927538;1.016110;37.391911
3.624064;2.294078;37.250917
3.493872;2.724367;37.190806
3.094512;3.528670;37.005761
4.082364;0.042008;37.470092
3.883301;1.163419;37.373804
3.954524;0.910934;37.408630
3.450743;2.836933;37.174193
3.044014;3.578807;36.985373
4.071936;0.151149;37.464566
3.566251;2.558550;37.229034
3.062177;3.547648;36.995713
2.907924;3.703918;36.921865
4.068496;0.319874;37.464949
4.072952;0.024685;37.472364
3.583951;2.477569;37.241011
3.929575;0.971510;37.400928
3.488736;2.700298;37.196178
3.511106;2.648488;37.207108
3.730433;1.808020;37.308682
3.888638;1.090927;37.383294
3.303637;3.216958;37.111138
3.933329;0.940538;37.405687
3.701268;1.882536;37.299007
4.069661;0.445185;37.470963
2.902301;3.691690;36.932732
3.181239;3.373548;37.063469
3.630271;2.112675;37.273136
4.069011;-0.004764;37.479666
3.617843;2.177300;37.268425
3.922599;0.902823;37.412948
3.668545;1.942665;37.294021
4.049064;0.368678;37.473941
2.994745;3.616197;36.978308
3.028162;3.561966;37.000144
3.967113;0.756937;37.437997
3.397004;2.880241;37.172826
3.112350;3.443696;37.040672
3.971204;0.726234;37.442510
3.034192;3.534939;37.010250
3.573281;2.352241;37.260270
3.187286;3.315790;37.081954
2.881731;3.692883;36.940825
3.600306;2.084891;37.277866
3.137057;3.363839;37.065148
3.572650;2.231462;37.270023
4.005428;0.181309;37.477668
3.429670;2.667186;37.214967
3.811357;1.088057;37.393344
3.646510;1.858740;37.318837
3.755027;1.532091;37.370926
3.280266;3.068656;37.149850
3.883392;0.844736;37.434324
3.366750;2.804963;37.193290
3.292527;3.015309;37.162475
2.888523;3.645526;36.972902
3.854128;0.910877;37.425057
3.313761;2.951889;37.174571
3.956676;0.356147;37.475875
3.957368;0.510941;37.476424
3.539360;2.182010;37.284176
3.707572;1.606395;37.363132
2.771101;3.768132;36.927688
3.760932;1.367781;37.388953
3.802065;1.007093;37.409572
3.498204;2.425860;37.267609
3.048056;3.400272;37.059868
3.983224;-0.026560;37.495642
3.549344;2.077240;37.294725
3.762453;1.302574;37.393227
3.741365;1.485657;37.385689
2.959521;3.535043;37.021730
