source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,DZ bas droit,,1.59,,2025-07-23,2025-07-23,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,"DZ centre haut x2
(interpolé)",-5.6,-112.6,2025-08-18,2025-07-23,2025-08-18,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_08_18.xlsm,Déplacements,GVA,C105,2025-08,VITESSE EVOL DZ,,,,,,1,59
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DPM bas gauche,0.11,-0.16,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DH bas gauche,0.71,2.35,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DZ bas gauche,-0.2,0.3,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DPM inter gauche,0.72,4.06,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DH inter gauche,0.23,23.71,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DZ inter gauche,-0.55,-13.63,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DPM haut gauche,0.64,6.58,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DH haut gauche,0.52,26.46,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DZ haut gauche,-1.1,-20.55,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DPM centre haut,1.11,44.19,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DH centre haut,-0.25,10.29,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DZ centre haut,-2.1,-77.6,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DPM haut droit,0.33,4.88,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DH haut droit,-0.47,-4.9,2025-08-18,2025-07-23,2025-08-18,2,67
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_08_18..xlsm,Déplacements,GHA,C04,2025-08,DZ haut droit,-0.7,-31.05,2025-08-18,2025-07-23,2025-08-18,2,67
