source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,HD,-0.69,-32.62,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,ID,-1.5,-53.48,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,BD,-2.02,-2.02,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,LH,-0.92,-20.3,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,LI,-1.4,-63.1,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_304-GHA_SMC_T28_25_08-18.xlsm,Convergences,GHA,T28,2025-08,LB,-1.41,-1.41,2025-08-18,2025-07-31,2025-08-18,3,39
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,BG,,0.0,,2025-02-19,2025-02-19,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,IG,,-22.17,,2025-05-05,2025-05-05,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,HG,-0.29,-11.08,2025-08-18,2025-07-30,2025-08-18,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,HD,-0.19,-6.32,2025-08-18,2025-07-30,2025-08-18,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,ID,,-18.84,,2025-07-02,2025-07-02,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,BD,,0.0,,2025-02-19,2025-02-19,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,LH,-0.29,-9.5,2025-08-18,2025-07-30,2025-08-18,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,LI,,-28.51,,2025-05-05,2025-05-05,2,30
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GHA\04_305-GHA_SMC_T41_25_08_18.xlsm,Convergences,GHA,T41,2025-08,LB,,0.0,,2025-02-19,2025-02-19,2,30
